Feature Id	Aliases	Genome	Type	Function
CTHE_RS05255	CTHE_RS05255, Cthe_1015, WP_003515586.1	ATCC27405 (43218/3/1)	gene	DUF3842 domain-containing protein
CTHE_RS05260	CTHE_RS05260, Cthe_1016, WP_003515588.1	ATCC27405 (43218/3/1)	gene	N-acetylmuramoyl-L-alanine amidase
CTHE_RS00520	CTHE_RS00520, Cthe_0101, WP_003512097.1	ATCC27405 (43218/3/1)	gene	NADH-dependent alcohol dehydrogenase
CTHE_RS05265	CTHE_RS05265, Cthe_1017, WP_004463481.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05270	CTHE_RS05270, Cthe_1018, WP_003515590.1	ATCC27405 (43218/3/1)	gene	carbohydrate ABC transporter permease
CTHE_RS05275	CTHE_RS05275, Cthe_1019, WP_011837946.1	ATCC27405 (43218/3/1)	gene	sugar ABC transporter permease
CTHE_RS05280	CTHE_RS05280, Cthe_1020, WP_011837947.1	ATCC27405 (43218/3/1)	gene	ABC transporter substrate-binding protein
CTHE_RS05285	CTHE_RS05285, Cthe_1021, WP_003515596.1, spoIVA	ATCC27405 (43218/3/1)	gene	stage IV sporulation protein A
CTHE_RS05290	CTHE_RS05290, Cthe_1022, WP_003515597.1	ATCC27405 (43218/3/1)	gene	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CTHE_RS05295	CTHE_RS05295, Cthe_1023, WP_003515600.1, plsY	ATCC27405 (43218/3/1)	gene	acyl-phosphate glycerol 3-phosphate acyltransferase
CTHE_RS05300	CTHE_RS05300, Cthe_1024, WP_003515602.1	ATCC27405 (43218/3/1)	gene	ribosome biogenesis GTPase Der
CTHE_RS05305	CTHE_RS05305, Cthe_1025, WP_003515604.1	ATCC27405 (43218/3/1)	gene	radical SAM protein
CTHE_RS05310	CTHE_RS05310, Cthe_1026, WP_003515606.1	ATCC27405 (43218/3/1)	gene	50S ribosomal protein L32
CTHE_RS00525	CTHE_RS00525, Cthe_0102, WP_003512099.1	ATCC27405 (43218/3/1)	gene	tRNA (guanosine(46)-N7)-methyltransferase TrmB
CTHE_RS05315	CTHE_RS05315, Cthe_1027, WP_003515607.1	ATCC27405 (43218/3/1)	gene	DUF177 domain-containing protein
CTHE_RS05320	CTHE_RS05320, Cthe_1028, WP_003515609.1	ATCC27405 (43218/3/1)	gene	acetate kinase
CTHE_RS05325	CTHE_RS05325, Cthe_1029, WP_041734229.1	ATCC27405 (43218/3/1)	gene	phosphate acetyltransferase
CTHE_RS05330	CTHE_RS05330, Cthe_1030, WP_003515613.1	ATCC27405 (43218/3/1)	gene	tetratricopeptide repeat protein
CTHE_RS05335	CTHE_RS05335, Cthe_1031, WP_003515614.1	ATCC27405 (43218/3/1)	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
CTHE_RS05340	CTHE_RS05340, Cthe_1032, WP_003515616.1	ATCC27405 (43218/3/1)	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA
CTHE_RS05345	CTHE_RS05345, Cthe_1033, WP_003515618.1	ATCC27405 (43218/3/1)	gene	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C
CTHE_RS05350	CTHE_RS05350, Cthe_1034, WP_003515619.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05355	CTHE_RS05355, Cthe_1035, WP_003515625.1	ATCC27405 (43218/3/1)	gene	DNA ligase (NAD(+)) LigA
CTHE_RS05360	CTHE_RS05360, Cthe_1036, WP_003515627.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS00530	CTHE_RS00530, Cthe_0103, WP_003512101.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05365	CTHE_RS05365, Cthe_1037, WP_003515629.1	ATCC27405 (43218/3/1)	gene	N-acetylmuramoyl-L-alanine amidase
CTHE_RS05370	CTHE_RS05370, Cthe_1038, WP_003515630.1	ATCC27405 (43218/3/1)	gene	GPR endopeptidase
CTHE_RS05375	CTHE_RS05375, WP_004463500.1, rpsT	ATCC27405 (43218/3/1)	gene	30S ribosomal protein S20
CTHE_RS05380	CTHE_RS05380, Cthe_1040, WP_003515634.1	ATCC27405 (43218/3/1)	gene	DNA polymerase III subunit delta
CTHE_RS05400	6.3.2.9, CTHE_RS05400, Cthe_1041, WP_011837954.1	ATCC27405 (43218/3/1)	gene	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase
CTHE_RS05405	CTHE_RS05405, Cthe_1042, WP_003515638.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05415	CTHE_RS05415, Cthe_1043, WP_003515640.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05420	CTHE_RS05420, Cthe_1044, WP_003515642.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05425	CTHE_RS05425, Cthe_1045, WP_003515644.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05430	CTHE_RS05430, Cthe_1046, WP_011837956.1	ATCC27405 (43218/3/1)	gene	ABC transporter substrate-binding protein
CTHE_RS00535	CTHE_RS00535, Cthe_0104, WP_003512104.1, ribD	ATCC27405 (43218/3/1)	gene	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
CTHE_RS05435	CTHE_RS05435, Cthe_1047, WP_003515648.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05440	CTHE_RS05440, Cthe_1048, WP_003515650.1	ATCC27405 (43218/3/1)	gene	rhomboid family intramembrane serine protease
CTHE_RS05445	CTHE_RS05445, Cthe_1049, WP_003515651.1	ATCC27405 (43218/3/1)	gene	regulatory protein RecX
CTHE_RS05450	CTHE_RS05450, Cthe_1050, WP_003515653.1, recA	ATCC27405 (43218/3/1)	gene	recombinase RecA
CTHE_RS05455	CTHE_RS05455, Cthe_1051, WP_011837957.1, mviN	ATCC27405 (43218/3/1)	gene	murein biosynthesis integral membrane protein MurJ
CTHE_RS05460	CTHE_RS05460, Cthe_1052, WP_004463509.1	ATCC27405 (43218/3/1)	gene	damage-inducible protein CinA
CTHE_RS05465	CTHE_RS05465, Cthe_1053, WP_003515661.1	ATCC27405 (43218/3/1)	gene	L-lactate dehydrogenase
CTHE_RS05470	CTHE_RS05470, Cthe_1054, WP_003515663.1	ATCC27405 (43218/3/1)	gene	MoxR family ATPase
CTHE_RS05475	CTHE_RS05475, Cthe_1055, WP_003515665.1	ATCC27405 (43218/3/1)	gene	DUF58 domain-containing protein
CTHE_RS05480	CTHE_RS05480, Cthe_1056, WP_011837958.1	ATCC27405 (43218/3/1)	gene	DUF4129 domain-containing protein
CTHE_RS00540	CTHE_RS00540, Cthe_0105, WP_003512106.1	ATCC27405 (43218/3/1)	gene	riboflavin synthase
CTHE_RS05485	CTHE_RS05485, Cthe_1057, WP_003515668.1	ATCC27405 (43218/3/1)	gene	PspC domain-containing protein
CTHE_RS05490	CTHE_RS05490, Cthe_1058, WP_003515671.1	ATCC27405 (43218/3/1)	gene	serine hydroxymethyltransferase
CTHE_RS05500	CTHE_RS05500, Cthe_1060, WP_003515673.1	ATCC27405 (43218/3/1)	gene	AIR synthase
CTHE_RS05505	CTHE_RS05505, Cthe_1061, WP_003515675.1	ATCC27405 (43218/3/1)	gene	DUF2225 domain-containing protein
CTHE_RS05510	CTHE_RS05510, Cthe_1062, WP_003515677.1	ATCC27405 (43218/3/1)	gene	vanomycin resistance protein VanB
CTHE_RS05515	CTHE_RS05515, Cthe_1063, WP_004463512.1	ATCC27405 (43218/3/1)	gene	tRNA 4-thiouridine(8) synthase ThiI
CTHE_RS05520	CTHE_RS05520, Cthe_1064, WP_003515680.1	ATCC27405 (43218/3/1)	gene	cysteine desulfurase
CTHE_RS05525	CTHE_RS05525, Cthe_1065, WP_003515682.1	ATCC27405 (43218/3/1)	gene	PilZ domain-containing protein
CTHE_RS05535	CTHE_RS05535, Cthe_1066, WP_003515683.1, recO	ATCC27405 (43218/3/1)	gene	DNA repair protein RecO
CTHE_RS17075	CTHE_RS17075, Cthe_3337, WP_003515684.1	ATCC27405 (43218/3/1)	gene	YqzL family protein
CTHE_RS00545	CTHE_RS00545, Cthe_0106, WP_003512109.1	ATCC27405 (43218/3/1)	gene	bifunctional 3,4-dihydroxy-2-butanone-4-phosphate synthase/GTP cyclohydrolase II
CTHE_RS05540	CTHE_RS05540, Cthe_1067, WP_003515685.1	ATCC27405 (43218/3/1)	gene	GTPase Era
CTHE_RS05545	CTHE_RS05545, Cthe_1068, WP_003515686.1, cdd	ATCC27405 (43218/3/1)	gene	cytidine deaminase
CTHE_RS05550	CTHE_RS05550, Cthe_1069, WP_003515687.1	ATCC27405 (43218/3/1)	gene	endoribonuclease YbeY
CTHE_RS05555	CTHE_RS05555, Cthe_1070, WP_011837960.1	ATCC27405 (43218/3/1)	gene	HD family phosphohydrolase
CTHE_RS05560	CTHE_RS05560, Cthe_1071, WP_011837961.1	ATCC27405 (43218/3/1)	gene	PhoH family protein
CTHE_RS05565	CTHE_RS05565, Cthe_1072, WP_003515692.1, yqfD	ATCC27405 (43218/3/1)	gene	sporulation protein YqfD
CTHE_RS05570	CTHE_RS05570, Cthe_1073, WP_003515694.1, yqfC	ATCC27405 (43218/3/1)	gene	sporulation protein YqfC
CTHE_RS05575	CTHE_RS05575, Cthe_1074, WP_003515696.1, pdaA	ATCC27405 (43218/3/1)	gene	delta-lactam-biosynthetic de-N-acetylase
CTHE_RS05580	CTHE_RS05580, Cthe_1075, WP_004463517.1	ATCC27405 (43218/3/1)	gene	DUF881 domain-containing protein
CTHE_RS05585	CTHE_RS05585, Cthe_1076, WP_003515699.1	ATCC27405 (43218/3/1)	gene	DUF881 domain-containing protein
CTHE_RS00060	CTHE_RS00060, WP_003518931.1	ATCC27405 (43218/3/1)	gene	sugar-binding protein
CTHE_RS00550	CTHE_RS00550, Cthe_0107, WP_003512112.1	ATCC27405 (43218/3/1)	gene	6,7-dimethyl-8-ribityllumazine synthase
CTHE_RS05590	CTHE_RS05590, Cthe_1077, WP_003515701.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05595	CTHE_RS05595, Cthe_1078, WP_003515703.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05600	CTHE_RS05600, Cthe_1079, WP_003515705.1	ATCC27405 (43218/3/1)	gene	nucleotidyltransferase
CTHE_RS05605	CTHE_RS05605, Cthe_1080, WP_003515708.1	ATCC27405 (43218/3/1)	gene	carbohydrate-binding protein
CTHE_RS05610	CTHE_RS05610, Cthe_1081, WP_003515710.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05615	CTHE_RS05615, Cthe_1082, WP_003515712.1	ATCC27405 (43218/3/1)	gene	amphi-Trp domain-containing protein
CTHE_RS05620	CTHE_RS05620, Cthe_1083, WP_003515715.1	ATCC27405 (43218/3/1)	gene	CotS family spore coat protein
CTHE_RS05625	CTHE_RS05625, Cthe_1084, WP_003515717.1	ATCC27405 (43218/3/1)	gene	CotS family spore coat protein
CTHE_RS05630	CTHE_RS05630, Cthe_1085, WP_011837962.1	ATCC27405 (43218/3/1)	gene	glycosyltransferase family 1 protein
CTHE_RS05635	CTHE_RS05635, Cthe_1086, WP_003515721.1	ATCC27405 (43218/3/1)	gene	spore coat protein
CTHE_RS00555	CTHE_RS00555, Cthe_0108, WP_003512113.1	ATCC27405 (43218/3/1)	gene	PilZ domain-containing protein
CTHE_RS05640	CTHE_RS05640, Cthe_1087, WP_003515723.1	ATCC27405 (43218/3/1)	gene	DUF3343 domain-containing protein
CTHE_RS05645	CTHE_RS05645, Cthe_1088, WP_003515725.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05650	CTHE_RS05650, Cthe_1089, WP_003515727.1	ATCC27405 (43218/3/1)	gene	stage V sporulation protein S
CTHE_RS05655	CTHE_RS05655, Cthe_1090, WP_003515729.1	ATCC27405 (43218/3/1)	gene	TIGR00282 family metallophosphoesterase
CTHE_RS05660	CTHE_RS05660, Cthe_1091, WP_004463536.1, rny	ATCC27405 (43218/3/1)	gene	ribonuclease Y
CTHE_RS05665	CTHE_RS05665, Cthe_1092, WP_003515733.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05670	CTHE_RS05670, Cthe_1093, WP_003515736.1	ATCC27405 (43218/3/1)	gene	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase
CTHE_RS05675	CTHE_RS05675, Cthe_1094, WP_003515738.1	ATCC27405 (43218/3/1)	gene	YgiQ family radical SAM protein
CTHE_RS05680	CTHE_RS05680, Cthe_1095, WP_003521254.1	ATCC27405 (43218/3/1)	gene	DNA translocase FtsK
CTHE_RS05685	CTHE_RS05685, Cthe_1096, WP_003515744.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS00570	CTHE_RS00570, Cthe_0109, WP_011837752.1	ATCC27405 (43218/3/1)	gene	dockerin
CTHE_RS05690	CTHE_RS05690, Cthe_1097, WP_003515746.1	ATCC27405 (43218/3/1)	gene	translocation-enhancing protein TepA
CTHE_RS05695	CTHE_RS05695, Cthe_1098, WP_003521255.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05700	CTHE_RS05700, Cthe_1099, WP_011837963.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05705	CTHE_RS05705, Cthe_1100, WP_011837964.1	ATCC27405 (43218/3/1)	gene	prepilin-type cleavage/methylation domain-containing protein
CTHE_RS05710	CTHE_RS05710, Cthe_1101, WP_004463543.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05715	CTHE_RS05715, Cthe_1102, WP_003515756.1	ATCC27405 (43218/3/1)	gene	fimbrial protein
CTHE_RS05720	CTHE_RS05720, Cthe_1103, WP_011837965.1	ATCC27405 (43218/3/1)	gene	prepilin-type cleavage/methylation domain-containing protein
CTHE_RS05725	CTHE_RS05725, Cthe_1104, WP_011837966.1	ATCC27405 (43218/3/1)	gene	prepilin-type cleavage/methylation domain-containing protein
CTHE_RS05730	CTHE_RS05730, Cthe_1105, WP_004463551.1	ATCC27405 (43218/3/1)	gene	type II secretion system F family protein
CTHE_RS05735	CTHE_RS05735, Cthe_1106, WP_011837967.1	ATCC27405 (43218/3/1)	gene	type IV pili twitching motility protein PilT
CTHE_RS00575	CTHE_RS00575, Cthe_0110, WP_003512117.1, hprK	ATCC27405 (43218/3/1)	gene	HPr(Ser) kinase/phosphatase
CTHE_RS05740	CTHE_RS05740, Cthe_1107, WP_003515767.1	ATCC27405 (43218/3/1)	gene	type II secretion system protein E
CTHE_RS05745	CTHE_RS05745, WP_041734230.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS05750	CTHE_RS05750, Cthe_1109, WP_011837968.1	ATCC27405 (43218/3/1)	gene	permease
CTHE_RS05755	CTHE_RS05755, Cthe_1110, WP_003519126.1	ATCC27405 (43218/3/1)	gene	arsenate reductase ArsC
CTHE_RS05760	CTHE_RS05760, Cthe_1111, WP_011837969.1, arsB	ATCC27405 (43218/3/1)	gene	arsenical-resistance protein
CTHE_RS05765	CTHE_RS05765, Cthe_1112, WP_003519130.1	ATCC27405 (43218/3/1)	gene	ArsR family transcriptional regulator
CTHE_RS00580	CTHE_RS00580, Cthe_0111, WP_003512119.1	ATCC27405 (43218/3/1)	gene	phosphatase
CTHE_RS05830	CTHE_RS05830, Cthe_1123, WP_011837980.1	ATCC27405 (43218/3/1)	gene	DUF1848 domain-containing protein
CTHE_RS00585	CTHE_RS00585, Cthe_0112, WP_003517868.1	ATCC27405 (43218/3/1)	gene	UDP-N-acetylenolpyruvoylglucosamine reductase
CTHE_RS00590	CTHE_RS00590, Cthe_0113, WP_003517869.1	ATCC27405 (43218/3/1)	gene	RNase adaptor protein RapZ
CTHE_RS00595	CTHE_RS00595, Cthe_0114, WP_003512125.1	ATCC27405 (43218/3/1)	gene	YvcK family protein
CTHE_RS00600	CTHE_RS00600, Cthe_0115, WP_003512126.1	ATCC27405 (43218/3/1)	gene	glycogen debranching protein
CTHE_RS00605	CTHE_RS00605, Cthe_0116, WP_003512127.1, whiA	ATCC27405 (43218/3/1)	gene	DNA-binding protein WhiA
CTHE_RS06055	CTHE_RS06055, Cthe_1162, WP_003519132.1, glmS	ATCC27405 (43218/3/1)	gene	glutamine--fructose-6-phosphate transaminase (isomerizing)
CTHE_RS06060	CTHE_RS06060, Cthe_1163, WP_003519133.1	ATCC27405 (43218/3/1)	gene	phosphoglucosamine mutase
CTHE_RS06065	CTHE_RS06065, Cthe_1164, WP_004463565.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06070	CTHE_RS06070, Cthe_1165, WP_011838018.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06075	CTHE_RS06075, Cthe_1166, WP_003519140.1	ATCC27405 (43218/3/1)	gene	TIGR00159 family protein
CTHE_RS06080	CTHE_RS06080, Cthe_1167, WP_003519142.1, amrS	ATCC27405 (43218/3/1)	gene	AmmeMemoRadiSam system radical SAM enzyme
CTHE_RS06085	CTHE_RS06085, Cthe_1168, WP_011838020.1	ATCC27405 (43218/3/1)	gene	TIGR00296 family protein
CTHE_RS00065	CTHE_RS00065, WP_003511908.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS00610	CTHE_RS00610, Cthe_0117, WP_003512128.1	ATCC27405 (43218/3/1)	gene	HPr family phosphocarrier protein
CTHE_RS06090	CTHE_RS06090, Cthe_1169, WP_003519146.1	ATCC27405 (43218/3/1)	gene	serine hydrolase
CTHE_RS06095	CTHE_RS06095, Cthe_1170, WP_003519149.1, dapB	ATCC27405 (43218/3/1)	gene	4-hydroxy-tetrahydrodipicolinate reductase
CTHE_RS06100	CTHE_RS06100, Cthe_1171, WP_003519151.1	ATCC27405 (43218/3/1)	gene	D-alanyl-D-alanine carboxypeptidase
CTHE_RS06105	CTHE_RS06105, Cthe_1172, WP_003519155.1	ATCC27405 (43218/3/1)	gene	DUF362 domain-containing protein
CTHE_RS06110	CTHE_RS06110, Cthe_1173, WP_004463568.1	ATCC27405 (43218/3/1)	gene	PilZ domain-containing protein
CTHE_RS06115	CTHE_RS06115, Cthe_1174, WP_003521881.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06120	CTHE_RS06120, Cthe_1175, WP_003519166.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06125	CTHE_RS06125, Cthe_1176, WP_003519167.1	ATCC27405 (43218/3/1)	gene	chemotaxis protein CheX
CTHE_RS06130	CTHE_RS06130, Cthe_1177, WP_003519168.1	ATCC27405 (43218/3/1)	gene	nicotinate phosphoribosyltransferase
CTHE_RS06135	CTHE_RS06135, Cthe_1178, WP_003519170.1	ATCC27405 (43218/3/1)	gene	cysteine hydrolase
CTHE_RS00615	CTHE_RS00615, Cthe_0118, WP_003512129.1, spoIIAA	ATCC27405 (43218/3/1)	gene	anti-sigma F factor antagonist
CTHE_RS06140	CTHE_RS06140, Cthe_1179, WP_003519171.1	ATCC27405 (43218/3/1)	gene	small, acid-soluble spore protein H
CTHE_RS06145	CTHE_RS06145, Cthe_1180, WP_003519428.1	ATCC27405 (43218/3/1)	gene	zinc-ribbon domain-containing protein
CTHE_RS06150	CTHE_RS06150, Cthe_1181, WP_003519429.1	ATCC27405 (43218/3/1)	gene	transglutaminase domain-containing protein
CTHE_RS06155	CTHE_RS06155, Cthe_1182, WP_041734245.1	ATCC27405 (43218/3/1)	gene	DUF58 domain-containing protein
CTHE_RS06160	CTHE_RS06160, Cthe_1183, WP_003519431.1	ATCC27405 (43218/3/1)	gene	MoxR family ATPase
CTHE_RS06165	CTHE_RS06165, Cthe_1184, WP_003519432.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06170	CTHE_RS06170, Cthe_1185, WP_003519433.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06175	CTHE_RS06175, Cthe_1186, WP_003519434.1	ATCC27405 (43218/3/1)	gene	alpha/beta hydrolase
CTHE_RS06180	CTHE_RS06180, Cthe_1187, WP_003519435.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06185	CTHE_RS06185, Cthe_1188, WP_011838023.1	ATCC27405 (43218/3/1)	gene	multidrug ABC transporter permease
CTHE_RS00620	CTHE_RS00620, Cthe_0119, WP_003512130.1	ATCC27405 (43218/3/1)	gene	anti-sigma F factor
CTHE_RS06190	CTHE_RS06190, Cthe_1189, WP_003519437.1	ATCC27405 (43218/3/1)	gene	ABC transporter
CTHE_RS06195	CTHE_RS06195, Cthe_1190, WP_003519438.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06200	CTHE_RS06200, Cthe_1191, WP_003519439.1	ATCC27405 (43218/3/1)	gene	haloacid dehalogenase
CTHE_RS06205	CTHE_RS06205, Cthe_1192, WP_004463584.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06210	CTHE_RS06210, Cthe_1193, WP_003512622.1	ATCC27405 (43218/3/1)	gene	IS256 family transposase ISCth4
CTHE_RS06220	CTHE_RS06220, Cthe_1195, WP_003518842.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS06225	CTHE_RS06225, Cthe_1196, WP_003521851.1	ATCC27405 (43218/3/1)	gene	DUF1910 domain-containing protein
